Positive,Negative,Neutral,Compound,Sent_result,Sentiment,Review,Index
0,0,1,0,1,Neutral,Users can thus observe the temporal influence of an event in a context consisting of other events in the same story and other stories.,1065
0,0,1,0,1,Neutral,The vertical positions of the bubbles distinguish different stories.,1066
0,0,1,0,1,Neutral,Four rules are followed in the vertical position assignment: Events belong to the same story should be adjacent in their vertical positions to reveal their relationships.,1067
0,0,0,0,1,Neutral,2,1068
0.189,0,0.811,0.2716,0,Positive,"The more important a story is, the higher its vertical position.",1069
0.215,0,0.785,0.4767,0,Positive,"Thus, the reading manner of human beings, which is usually from top to bottom, can be supported.",1070
0.118,0,0.882,0.4767,0,Positive,"The importance of a story can be measured using different criteria, such as the number of related documents, the length, starting time, or ending time of its group time zone, or the maximum number o,f rel,ated docu,""ments in any particle time zone.,""",1071
0,0,1,0,1,Neutral,Users can interactively set the criterion.,1072
0,0,0,0,1,Neutral,3,1073
0,0,1,0,1,Neutral,"Within a story, the events are positioned one by one.",1074
0.185,0.121,0.694,0.2732,0,Positive,"The positioning priority from high to low is starting time, peak strength, and duration.",1075
0,0,0,0,1,Neutral,4,1076
0,0.268,0.732,-0.296,2,Negative,No overlaps are allowed among the bubbles.,1077
0,0,1,0,1,Neutral,The positioning algorithm is described as follows: 1. .,1078
0,0,0,0,1,Neutral,.,1079
0,0,1,0,1,Neutral,Step 1.,1080
0.111,0,0.889,0.3612,0,Positive,Put all cluster groups into a sorted queue where the one with large Importance (see rule 2 above) comes first into the queue.,1081
0,0,1,0,1,Neutral,Step 2.,1082
0,0,1,0,1,Neutral,Take the group at the front of the queue g ).,1083
0,0.092,0.908,-0.7882,2,Negative,"Given the mapping relation (referred as \x04top between the clusters in the group and a couple of real life events, each of these events is placed into the g is a group's ??뢬ayground.??The playgro,und o,f \x04top,""space whose horizontal dimension is confined by the g ; and its vertical dimension is group time zone \x02top ??냓lf-open?? its upper boundary is the topmost g where position of the display area tailored by \x02top there are no other events placed underneath; and there is no constrain to the lowest vertical position.,""",1084
0,0,1,0,1,Neutral,The events are placed one by one into the playground in the positioning priority defined in rule 3.,1085
0,0,1,0,1,Neutral,Each event is placed at the highest possible vertical position within the playground without overlapping the settled events.,1086
0,0,0,0,1,Neutral,.,1087
0,0,1,0,1,Neutral,Step 3.,1088
0,0.167,0.833,-0.2023,2,Negative,Repeat Step 2 until the queue of cluster groups is empty.,1089
0,0,0,0,1,Neutral,.,1090
0,0,1,0,1,Neutral,Step 4.,1091
0,0,1,0,1,Neutral,Insert the outlier events to the topmost unoccupied space one by one according to the same priority list used in settling events in the same story.,1092
0,0,0,0,1,Neutral,.,1093
0,0,1,0,1,Neutral,Step 5.,1094
0.128,0,0.872,0.3612,0,Positive,Scale the positions and the vertical sizes of all the events to fit them into the screen space.,1095
0,0,1,0,1,Neutral,The relative vertical sizes of the events are kept so that users can compare the temporal influences of different events.,1096
0,0,1,0,1,Neutral,Fig.,1097
0,0,1,0,1,Neutral,4 gives an example of the bubble layout.,1098
0.136,0,0.864,0.4939,0,Positive,"This figure proves that even with large number of bubbles, the narrative arcs of significant long-term stories (seen as the groups in yellow, in pink, in blue, and in red) are still well preserved i,n the,visualiz,""ation.,""",1099
0,0,1,0,1,Neutral,4.1.3 Semantic Representation The semantics of events are displayed as labels and snippets (see Fig.,1100
0,0,1,0,1,Neutral,5 for an example) in the visualization.,1101
0,0,1,0,1,Neutral,"An event is labeled by dual-labels, where core-keywords and contextkeywords (refer to Section 3.4) are displayed in parallel and in distinct background colors.",1102
0.124,0,0.876,0.4019,0,Positive,Dual labels help users learn the common theme in a long-term story and detect the unique content of the individual events.,1103
0,0,1,0,1,Neutral,"For example, Fig.",1104
0,0.218,0.782,-0.5994,2,Negative,5 shows events in the long-term story about the 2006 Lebanon War with their labels displayed.,1105
0,0,1,0,1,Neutral,The labels in white background provide context information while the labels in yellow background display the unique content of each event.,1106
0.112,0,0.888,0.2263,0,Positive,They allow users to build a rough mental map of the long-term story without reading the documents.,1107
0.217,0,0.783,0.466,0,Positive,Note that there are a few irrelevant keywords like ??쬟ANIAN??in the yellow labels.,1108
0,0.167,0.833,-0.34,2,Negative,They are introduced by errors in the segmentation of the closed caption documents.,1109
0,0,1,0,1,Neutral,"To reduce clutter, EventRiver provides a few automatic labeling strategies to selectively label the events.",1110
0,0,1,0,1,Neutral,"Representative event labeling automatically labels a representative event, such as the event mapped to the biggest cluster, for each story.",1111
0,0,1,0,1,Neutral,Outlier labeling labels outlier events only.,1112
0,0,1,0,1,Neutral,"In addition, when users zoom into a long-term story to \x0cexamine it in detail, all of its events will be automatically labeled.",1113
0,0,1,0,1,Neutral,Users can click on an event to manually turn on/ off its labels.,1114
0,0.091,0.909,-0.3412,2,Negative,"When the labels do not fulfill the information needs of a user, the user can trigger the on-the-fly snippet by hovering the mouse over an event.",1115
0.062,0,0.938,0.0516,0,Positive,The snippet shows a few sentences from the documents in the cluster that contain one or more core-keywords and context-keywords.,1116
0,0,1,0,1,Neutral,Fig.,1117
0,0,1,0,1,Neutral,5 gives an example of the snippet.,1118
0,0,0,0,1,Neutral,.,1119
0,0,1,0,1,Neutral,"4.2.2 Interactions for Event Search, Tracking, and Association .",1120
0,0,1,0,1,Neutral,"4.2 Interactions for Event-Related Tasks EventRiver provides a set of interactions to assist eventrelated tasks, as described below.",1121
0,0,1,0,1,Neutral,4.2.1 Interactions for Event Browsing .,1122
0,0,0,0,1,Neutral,.,1123
0,0,0,0,1,Neutral,.,1124
0,0,0,0,1,Neutral,.,1125
0,0.096,0.904,-0.1779,2,Negative,Filtering-by-Influence?遊쁲ers can set an influence range to hide events whose peak influences are out of the range.,1126
0,0,1,0,1,Neutral,Unhidden events are repositioned and proportionally deformed to fill the room made by hidden events.,1127
0.09,0,0.91,0.2924,0,Positive,"In this way, users can examine the major events driving the text without the distraction from the small ones, as shown in Fig.",1128
0,0,0,0,1,Neutral,1,1129
0.121,0,0.879,0.4404,0,Positive,Semantic Zooming?遊쁲ers can use semantic zooming to remove unselected events from the screen and rescale the selected events to fulfill the screen.,1130
0,0,1,0,1,Neutral,"Meanwhile, the labels of the selected events will be automatically turned on.",1131
0,0,1,0,1,Neutral,Temporal Zooming?遊쁲ers can brush the time axis to select a specific time period as a focus time slot.,1132
0.209,0,0.791,0.4404,0,Positive,This time slot will be rescaled to fulfill the horizontal screen space.,1133
0.133,0,0.867,0.5563,0,Positive,"Group Sorting?遊쁲ers can sort the stories by a different importance criterion (refer to Section 4.1.2) and regenerate the vertical layout so that the stories considered more important will be displa,yed h,igher in,""the display.,""",1134
0,0,1,0,1,Neutral,Manual Relocation?遊쁲ers can manually change the vertical positions of individual events to reduce overlaps among the labels.,1135
0,0,0,0,1,Neutral,.,1136
0,0,1,0,1,Neutral,Search-by-Keywords?遊쁲ers can search events whose mapping clusters include/exclude any documents containing a few input keywords.,1137
0,0,1,0,1,Neutral,Users can type the keywords or select them from a preset keyword list (see Fig.,1138
0,0,1,0,1,Neutral,6a for an example).,1139
0,0,1,0,1,Neutral,"The list contains all the keywords used to characterize documents in the collection and can be sorted by different criteria, such as the total occurrences, the peak counts within the particle time z,""ones,"",and the,""first/last appearance time.,""",1140
0.104,0,0.896,0.296,0,Positive,Search-by-Example?遊쁲ers can interactively select an event and search all the events that share any core-keywords or context keywords with it.,1141
0,0,1,0,1,Neutral,"In this way, they can find associated events and track event evolution.",1142
0,0,1,0,1,Neutral,They can also search events by a piece of example text.,1143
0,0,1,0,1,Neutral,4.2.3 Interactions for Event Investigation Shoebox?遊쁲ers can investigate an event by opening its shoebox with a mouse-click.,1144
0,0,1,0,1,Neutral,The shoebox allows the users to examine full details of the related documents and conduct investigative analysis (see Fig.,1145
0,0,1,0,1,Neutral,6b for an example).,1146
0,0,1,0,1,Neutral,Its interface consists of three components: .,1147
0,0,0,0,1,Neutral,.,1148
0,0,1,0,1,Neutral,"Index Panel lists all documents within the cluster, which can be sorted by their lengths, releasing time, or other criteria.",1149
0,0.109,0.891,-0.296,2,Negative,Typing a keyword in the search box will remove all documents with no occurrence of the keyword from the list.,1150
0,0,1,0,1,Neutral,Clicking a document in the list will load the document to the detail panel.,1151
0,0,1,0,1,Neutral,Detail Panel allows users to read a document in snippets or full text.,1152
0,0,1,0,1,Neutral,"In the snippet mode, only the \x0cFig.",1153
0,0,0,0,1,Neutral,6,1154
0,0,1,0,1,Neutral,Investigating the events about the 2006 Transatlantic Aircraft Plot.,1155
0,0,1,0,1,Neutral,The events in (a) were selected using the keyword Heathrow.,1156
0,0,1,0,1,Neutral,(a) Zooming into selected events.,1157
0,0,1,0,1,Neutral,"(b) A shoebox for the event labeled ??쩋L, LITTLE, CARRY.??Fig.",1158
0,0,0,0,1,Neutral,7,1159
0,0.37,0.63,-0.6908,2,Negative,A storyboard for the story about the Ramsey Murder Case.,1160
0.167,0,0.833,0.0516,0,Positive,sentences containing core-keywords or context-keywords are displayed.,1161
0,0,1,0,1,Neutral,"In both modes, the keywords are highlighted by colors.",1162
0,0,0,0,1,Neutral,.,1163
0.237,0,0.763,0.7351,0,Positive,"Evidence Box allows users to save documents of interest into evidence files for external uses, such as evidence exchange or hypothesis evaluations.",1164
0,0,1,0,1,Neutral,Storyboard?遊큦ers can use a storyboard to examine all selected events at the same time to construct a metal map of the story consisting of these events.,1165
0,0,1,0,1,Neutral,It displays the events as an array of shoeboxes in chronological order.,1166
0,0,1,0,1,Neutral,See Fig.,1167
0,0,1,0,1,Neutral,7 for an example.,1168
0,0,1,0,1,Neutral,"5 CASE STUDY In this section, we present a few case studies.",1169
0.094,0,0.906,0.3818,0,Positive,"They show how EventRiver helps users quickly browse a large text collection for major driving events, track their evolution, and dive in an event for investigative analyses.",1170
0,0,1,0,1,Neutral,"The data \x0cexplored is CNN news from Aug. 1 to 24, 2006, containing 29,211 closed-caption documents.",1171
0,0,1,0,1,Neutral,"5.1 Case Study 1: Event Browsing In this case, we, without any prior knowledge, quickly browsed the major events and long-term stories that drive the news development.",1172
0,0,1,0,1,Neutral,"When the data set was opened in EventRiver, all events detected from it were displayed.",1173
0.09,0.106,0.804,-0.0772,2,Negative,We interactively filtered out events with relatively low influences and labeled the representative events of the significant stories.,1174
0,0,1,0,1,Neutral,The resulting display is shown in Fig.,1175
0,0,0,0,1,Neutral,1,1176
0,0,1,0,1,Neutral,Several long-term stories stand out.,1177
0,0,1,0,1,Neutral,The story in red contains context-keywords ??쬼raeli??and ??촦banese??,1178
0,0.245,0.755,-0.5994,2,Negative,"From the snippets, we learn that it is about the 2006 Lebanon War.",1179
0,0,1,0,1,Neutral,The story in blue has the context-keywords ??챣nbenet Ramsey??and ??톒ailand??,1180
0,0.227,0.773,-0.6908,2,Negative,"From the snippets, we learn that it reports the new leads in the Jonbenet Ramsey Murder Case.",1181
0,0.1,0.9,-0.4404,2,Negative,"Similarly, several other stories, such as the 2006 Transatlantic Aircraft Plot in green and Floyd Landis Drug Scandal of La Tour de France in pink, are detected.",1182
0,0.183,0.817,-0.6908,2,Negative,"5.2 Case Study 2: Event Search, Tracking, and Association In this case, we took a closer look at the Jonbenet Ramsey Murder Case.",1183
0,0,1,0,1,Neutral,We selected all events in this story using the Search-by-Example interaction and opened a storyboard for them (Fig.,1184
0,0,1,0,1,Neutral,7).,1185
0,0,1,0,1,Neutral,In Fig.,1186
0.093,0.122,0.784,-0.8196,2,Negative,"7, the snippets in shoeboxes exhibit the narratives of this story, starting with an motivating event on Aug. 16?遺는?톒ere's been an arrest in connection with the murder of Jonbenet Ramsey nearly te,n yea,rs ago at,""her home in Boulder, Colorado.??Then there were the followups of this event: Aug. 17, Karr admitted being in the company with Jonbenet when she was killed; the next day, Aug. 18, an e-mail written by Karr was revealed as a piece of importance evidence in this murder case; on Aug. 20, suspect John Karr was deported to the United States from Thailand for trial; Karr waived extradition in Los Angeles County Superior Court, clearing the way for his transfer to Boulder (CO) on Aug. 22; and Aug. 24, Karr retained his California attorneys for the upcoming trial in Boulder (CO).,""",1187
0,0,1,0,1,Neutral,5.3 Case Study 3: Event Investigation When we zoomed into the story of 2006 Transatlantic Aircraft Plot (see Fig.,1188
0,0,1,0,1,Neutral,"6a), we noticed that the keyword ??꿦l??appears in the labels of a few events.",1189
0,0.215,0.785,-0.7929,2,Negative,We wondered how gel was related to this terrorism and clicked on an event with ??꿦l??in its label to open a shoebox (see Fig.,1190
0,0,1,0,1,Neutral,6b) to investigate it.,1191
0.032,0.247,0.721,-0.8156,2,Negative,"In the shoebox, we searched documents containing ??꿦l??and learned that ??꿦l??had been listed as a suspicious and banned item in air flights to prevent the carrying of disguised liquid explosives.,"","",,",1192
0.146,0,0.854,0.4404,0,Positive,6 EXPERIMENT The effectiveness of EventRiver in supporting event-related tasks heavily depends on the quality of the temporallocality clusters.,1193
0.143,0,0.857,0.3612,0,Positive,Its scalability to large text collections is related to the time efficiency of the clustering algorithm.,1194
0.152,0,0.848,0.3612,0,Positive,We have conducted a set of experiments to evaluate the efficiency and effectiveness of this algorithm.,1195
0,0,1,0,1,Neutral,"6.1 Settings A real data set consisting of 29,211 closed-caption documents of CNN news from Aug. 1 to 24, 2006 was used in the experiment.",1196
0,0,1,0,1,Neutral,"On average, 9,092 keywords per day were used to characterize the documents.",1197
0,0,1,0,1,Neutral,EventRiver processed the data set on a PC with Intel Core 2 Duo processor and 2 GB memory.,1198
0,0,1,0,1,Neutral,"The parameters of the algorithms were set as follows: the length of particle time zone l\x02 姨?24 h; a sampling rate of 10 percent was used in SPC Jaccard Coefficient calculation for subclusters an,d clu,sters who,""se sizes are larger than 10.,""",1199
0,0,1,0,1,Neutral,"Otherwise, the sampling rate is 100 percent.",1200
0.062,0,0.938,0.3612,0,Positive,"6.2 Time Efficiency The time of cluster extraction and cluster group construction for the whole text collection was 5 min and 13 s (i.e., 313 s), which means that it takes about 0.01 s to process th,e key,words of,""each document on average.,""",1201
0,0,1,0,1,Neutral,"In particular, given that the average size of a document batch is 1,221, the average processing time for one particle time zone, namely the average incremental processing time, was 13.064 s. The res,ults,showed th,""at the cluster extraction and group construction were time efficient.,""",1202
0,0,1,0,1,Neutral,6.3 Quality There were 363 events and 17 long-term stories discovered from the text collection (see Fig.,1203
0,0,1,0,1,Neutral,1).,1204
0,0,1,0,1,Neutral,A multiresolution approach was used to examine the results.,1205
0.075,0.143,0.782,-0.2732,2,Negative,"First, to make sure that no major stories in the data set were missing in EventRiver, we visualized the same data set using IN-SPIRE [23] (see Fig.",1206
0.182,0,0.818,0.4404,0,Positive,8) and compared the stories discovered by EventRiver with the clusters revealed in IN-SPIRE.,1207
0.189,0,0.811,0.6633,0,Positive,INSPIRE clustered the whole text collection without considering the time stamps of the documents and displayed the clusters as mountains.,1208
0,0,1,0,1,Neutral,As shown in Fig.,1209
0.167,0,0.833,0.2023,0,Positive,"8, IN-SPIRE revealed 18 significant clusters excluding the similar ones.",1210
0,0,1,0,1,Neutral,"Comparing them with the 17 stories discovered by EventRiver, we found that the two systems detected 15 topics in common.",1211
0.135,0.06,0.805,0.3939,0,Positive,"The two exclusive topics from EventRiver were ??쨖oyd Landis drug scandal of La Tour de France??and ??봦e kidnap of the two journalists Olaf Wiig and Steve Centanni in Gaza.??By scanning the origina,l dat,""a set, we"",""were sure that both of them were significant topics.,""",1212
0.053,0,0.947,0.3527,0,Positive,"The three exclusive topics from IN-SPIRE were labeled as ??땇rry, ve, didn???????냤t, companies, women,??and ??땇rry, ve, ricky, yeah.??After reading documents on these topics, we learned that ??땇,rry??,refers to,""the famous CNN anchor Larry King and the topics consist of several small events in Larry King's show.,""",1213
0,0.093,0.907,-0.163,2,Negative,"The topic ??냤t, companies, women??consists of a set of trivial daily news with these three words appearing prominently.",1214
0.234,0,0.766,0.7003,0,Positive,The results show that EventRiver captured the major stories from the text collection as effectively as or even better than IN-SPIRE.,1215
0.223,0,0.777,0.5106,0,Positive,EventRiver also exhibited significant advantages in visually depicting the narrative arcs of the stories in one view.,1216
0.114,0.102,0.784,0.0762,0,Positive,"IN-SPIRE depended on time slicing techniques to reveal the narratives, which was not efficient and suffered from change blindness [20].",1217
0,0,1,0,1,Neutral,"We next examined several long-term stories detected by EventRiver in detail by comparing their events with an external reference source, namely Wikipedia.org [22].",1218
0.123,0,0.877,0.5984,0,Positive,"Eight stories with the largest numbers of events were examined, \x0ceach of which was listed as one of the weekly top five most popular topics at CNN.com at least once for the time period during whi,ch it,occurred,"".,""",1219
0,0,1,0,1,Neutral,"In Wikipedia, the major events of these stories were manually summarized and listed as timelines.",1220
0,0,1,0,1,Neutral,"We believe that such human-generated summaries are usually more accurate than any automatic results, which make them a benchmark for evaluation.",1221
0,0,1,0,1,Neutral,"For each of the eight stories, we first manually compared their events discovered by EventRiver with the events listed in the Wikipedia timeline to identify matching events.",1222
0.086,0,0.914,0.296,0,Positive,"Then, we measured the quality of EventRiver results against Wikipedia using precision [6], namely the ratio between the number of matching events and the total number of events of this story in Even,tRive,""r, and re"",""call [6], namely the ratio between the number of matching events and the total number of events in this story listed in the Wikipedia timeline.,""",1223
0,0,1,0,1,Neutral,This process is illustrated in the following example.,1224
0,0,1,0,1,Neutral,The scores of precision and recall are shown in Table 1.,1225
0,0.1,0.9,-0.5994,2,Negative,"The 2006 Lebanon War?蹂?Close Look at the Event Extraction Results Wikipedia has a timeline [22] for the military operations of the 2006 Lebanon War where 17 events are listed in the time period of,the e,xperiment,""data set.,""",1226
0,0.231,0.769,-0.5994,2,Negative,"For EventRiver, there were 15 events in the story of the 2006 Lebanon War.",1227
0,0,1,0,1,Neutral,"Fourteen events matched, which led to a precision of 93.3 percent (14/ 15) and a recall of 82.4 percent (14/17).",1228
0,0,1,0,1,Neutral,Here we list a few example matching events.,1229
0.161,0,0.839,0.6124,0,Positive,"For each event, we cite the event description in Wikipedia and highlight the keywords appearing in the labels of the matching event in EventRiver in bold (see Fig.",1230
0,0,1,0,1,Neutral,"5 for the events, labels, and snippets in EventRiver): 1.",1231
0.067,0,0.933,0.128,0,Positive,"On Aug. 4, ??쬼rael targeted the southern outskirts of Beirut, and later in the day, Hezbollah launched rockets at the Hadera region.",1232
0,0.215,0.785,-0.8385,2,Negative,"Thirty three civilian farm workers are killed and 20 wounded after an Israeli airstrike in a farm near Qaa in Lebanon.??On Aug. 5, ??쬼raeli commando soldiers landed in Tyre, where fighting erupted,with,Hezbollah,""forces.??3.,""",1233
0,0.261,0.739,-0.8126,2,Negative,"On Aug. 6, ??톣elve army reservists resting near the Lebanon border were killed in the deadliest barrage of Hezbollah rocket attacks so far.",1234
0,0.285,0.715,-0.8385,2,Negative,Three Israeli civilians were also killed in a dusk attack in the port of Haifa.??A snippet of this event is shown in Fig.,1235
0,0,0,0,1,Neutral,5,1236
0,0,0,0,1,Neutral,4,1237
0,0.411,0.589,-0.9266,2,Negative,"On Aug. 9, ??뇆 the eastern Bekaa Valley five people were reported killed and two feared dead after an Israeli airraid.??5.",1238
0,0,1,0,1,Neutral,"On Aug. 10, ??엗ndoleezza Rice formally explains the resolution plan of the U.N. for reconciliation between Lebanon and Israel.??6.",1239
0.177,0.045,0.779,0.8458,0,Positive,"On Aug. 14, ??톒e Former Israeli prime minister Ariel Sharon's health condition gets worse because of a new finding of pneumonia, and he is still in a coma.??The experiment results demonstrated tha,t Eve,ntRiver p,""rovides an effective and efficient event-based text analysis approach that successfully maps a text corpus to its driving events and helps users discover narrative arcs of the longterm stories.,""",1240
0.081,0,0.919,0.3182,0,Positive,The meaningful real life events discovered in the experiment also indirectly proved the effectiveness of the document generation model on which the event-based text analysis establishes itself.,1241
0,0,1,0,1,Neutral,"The analysis offered by EventRiver can scale up to much larger text collections with temporal references and can give overviews even when human analyses (demonstrated via Wikipedia here) have not be,en pe,rformed.,"",""",1242
0,0,1,0,1,Neutral,"Further, the temporal analysis approach provided in this paper is unique and gives EventRiver capabilities that other tools do not have.",1243
0,0,0,0,1,Neutral,2,1244
0,0,1,0,1,Neutral,7 PRELIMINARY USER FEEDBACKS We report user feedbacks from a preliminary user test of EventRiver.,1245
0.288,0,0.712,0.7717,0,Positive,This test was conducted to evaluate the effectiveness and efficiency of EventRiver in supporting the event-related tasks as a human-centered visual analytics solution.,1246
0,0,1,0,1,Neutral,We performed this test by comparing EventRiver \x0cwith LensRiver [12] (see Fig.,1247
0,0,1,0,1,Neutral,"9), which is a KeywordTracing Technique (refer to Section 2).",1248
0.178,0,0.822,0.7056,0,Positive,Our assumption was that the EventRiver was more effective in helping users discover major events and learn their semantic contents and evolution than Keyword Tracing Techniques such as LensRiver.,1249
0,0,1,0,1,Neutral,"To form a comparable study, labels and snippets were provided in both EventRiver and LensRiver.",1250
0.133,0,0.867,0.3182,0,Positive,The shoebox was disabled to make sure that users learned the semantics without reading the documents.,1251
0,0,1,0,1,Neutral,"CNN news from Aug. 1 to 24, 2006 was used in the formal test while CNN news from Sept. 1 to 15, 2006 was used in the training.",1252
0,0,1,0,1,Neutral,Each document is characterized by the same keyword vector in both systems.,1253
0,0,1,0,1,Neutral,Figs.,1254
0.194,0,0.806,0.34,0,Positive,"1 and 9 show the test data sets in EventRiver and LensRiver, respectively.",1255
0,0,1,0,1,Neutral,"The test was a within-subjects, balanced user study.",1256
0,0,1,0,1,Neutral,Twelve graduate students majoring in computer science participated in this test.,1257
0,0,1,0,1,Neutral,All subjects claimed that they were unfamiliar with or forgot about the details about the news during Aug. 2006.,1258
0,0,1,0,1,Neutral,The subjects took the test one by one on the same desktop PC.,1259
0,0,1,0,1,Neutral,The procedure of this test was indicated as follows: Each subject worked through two sections.,1260
0,0,1,0,1,Neutral,"In each section, a subject was asked to complete the same set of tasks with either EventRiver or LensRiver.",1261
0,0,1,0,1,Neutral,Half of the subjects worked with EventRiver in the first section and with LensRiver in the second section.,1262
0,0,1,0,1,Neutral,Another half worked in reversed order.,1263
0,0,1,0,1,Neutral,We asked the subjects to use both systems to learn their preference.,1264
0,0.066,0.934,-0.296,2,Negative,"In our task performance statistics, only the results from the first section were calculated to avoid the case that what a subject learned from the first section helped him/her in the second section.,"","",,",1265
0.086,0,0.914,0.4404,0,Positive,"Each section started with a 10-min training period in which the instructor introduced the interface and the interactions to the subject and the subject freely explored the tool using the training da,ta se,""t.,"",",1266
0,0,1,0,1,Neutral,The instructor answered questions from the subject during the training.,1267
0,0,1,0,1,Neutral,The formal tasks followed the training.,1268
0,0,1,0,1,Neutral,It contained two tasks.,1269
0.07,0,0.93,0.2023,0,Positive,The first task tested how the visualization helped users discover significant events in the major stories that drive the text collection and learn their semantics.,1270
0.097,0,0.903,0.4215,0,Positive,"As shown in Table 2, two groups of hypothetical events were given and the subject was asked to judge whether each hypothetical event was true or false.",1271
0.163,0,0.837,0.5106,0,Positive,The subject was asked to rate his/her confidence about the judgment on a 1 (low confidence) to 5 (high confidence) scale.,1272
0,0,1,0,1,Neutral,The second task tested how the visualization helped users learn event evolution.,1273
0.043,0,0.957,0.0772,0,Positive,"As shown in Table 3, two groups of associated real life events were given and the subject was asked to number the chronological order of the events within each group.",1274
0.18,0,0.82,0.5106,0,Positive,The subject was again asked to rate his/her confidence about the answers on the same scale.,1275
0.083,0,0.917,0.2023,0,Positive,Note that all the events used in the tasks were based on news events that were listed in the weekly top.,1276
0,0,1,0,1,Neutral,The total time the subject used to finish each task was manually recorded by the instructor.,1277
0.144,0,0.856,0.5719,0,Positive,"After the test, the subjects were asked to complete a posttest questionnaire on their preference to EventRiver and LensRiver with regard to their usefulness, ease of use, and awareness of context.",1278
0,0,1,0,1,Neutral,Scales of 1 (low preference) to 5 (high preference) were used for the measure.,1279
0,0,1,0,1,Neutral,Free-style comments were also collected.,1280
0,0,1,0,1,Neutral,by users during their tasks) and design corresponding visualizations; .,1281
0.178,0,0.822,0.6369,0,Positive,"to design a dynamic visualization mechanism, which will seamlessly integrate with the current dynamic data procession mechanism, so that EventRiver can be applied to real-time text streams.",1282
0.318,0,0.682,0.8126,0,Positive,"In addition, EventRiver will be strengthened to support visual sense making better by integrating more analytical components such as opinion analysis.",1283
0.184,0,0.816,0.4019,0,Positive,We also plan to support comparative analysis of multiple text collections using EventRiver.,1284
0,0,1,0,1,Neutral,The results of this test are reported in Table 4.,1285
0.333,0,0.667,0.9001,0,Positive,"The results showed that EventRiver had advantages over LensRiver for the given tasks with regard to time efficiency, correctness, user confidence, and user preference on usefulness, ease of use, and,awar,eness of,""context.,""",1286
0.162,0,0.838,0.4404,0,Positive,Users commented that it was easy to find keywords associations and track event evolution using EventRiver.,1287
0,0.055,0.945,-0.1027,2,Negative,"By contrast, users found that it was hard to find keyword associations from LensRiver, especially when the keywords under inspection had a relatively long life span.",1288
0.109,0,0.891,0.6124,0,Positive,"8 CONCLUSION AND FUTURE WORK In conclusion, EventRiver advances analysis on text collections with temporal references in that: EventRiver exemplifies the integration of novel analytical components w,ith a,n express,""ive visual representation and interaction methods to visualize text collections in support of event-related analytical tasks.,""",1289
0.234,0,0.766,0.7003,0,Positive,The whole approach is established upon an event-based perspective so that the world view gap can be narrowed to a great extend.,1290
0.128,0,0.872,0.3612,0,Positive,"Its effectiveness and efficiency have been evaluated by the case studies, the experiments, and the preliminary user test.",1291
0,0,0,0,1,Neutral,.,1292
0.187,0,0.813,0.3182,0,Positive,EventRiver employs a novel event-based text analysis approach upon a streaming data model.,1293
0.208,0,0.792,0.6705,0,Positive,"Besides computational efficiency, this dynamic data process mechanism brings EventRiver the potential to be applied to real-time text stream applications in the future.",1294
0,0,0,0,1,Neutral,.,1295
0.091,0,0.909,0.3612,0,Positive,EventRiver employs a visualization that reveals the narrative arcs of a text collection in terms of events and offers intuitive visual clues with ready accessibility to full text.,1296
0.064,0,0.936,0.2263,0,Positive,"It also provides a multiresolution visual exploration pipeline from long-term stories, events, to full text of a document, which allows users to explore the text collection in a scalable and managea,ble w,""ay.,"",",1297
0.124,0,0.876,0.1779,0,Positive,"In the future, we are going to extend EventRiver in the following directions: .",1298
0,0,0,0,1,Neutral,.,1299
0,0,0,0,1,Neutral,.,1300
0.239,0,0.761,0.9657,0,Positive,"to allow the individual user to influence the determination of importance of the events by feeding personal preferences into the system, particularly into the analytic part, and thus, to further nar,row t,he world,""view gap; to scale to larger text collections by enabling multiresolution temporal granularity and allowing user to interactively change the granularity (for example, the particle time zone can be dynamically adjusted ACKNOWLEDGMENTS This paper is partially supported by the US Department of Homeland Security under Grant Award Number 2008-ST108-000002 and the US National Science Foundation (NSF) under grant number IIS-0915528.,""",1301
0.319,0,0.681,0.7579,0,Positive,The authors also thank Dr. Hangzai Luo and Dr. Jianping Fan for their help on data collection and preprocessing.,1302
0.066,0,0.934,0.34,0,Positive,"The views and conclusions contained in this document are those of the authors and should not be interpreted as necessarily representing the official policies, either expressed or implied, of the US,Depar,tment of,""Homeland Security and NSF.,""",1303
0,0,1,0,1,Neutral,"Visual Opinion Analysis of Customer Feedback Data ABSTRACT Today, online stores collect a lot of customer feedback in the form of surveys, reviews, and comments.",1304
0.263,0,0.737,0.8823,0,Positive,"This feedback is categorized and in some cases responded to, but in general it is underutilized ??even though customer satisfaction is essential to the success of their business.",1305
0.115,0.118,0.767,-0.0258,1,Neutral,"In this paper, we introduce several new techniques to interactively analyze customer comments and ratings to determine the positive and negative opinions expressed by the customers.",1306
0.097,0.099,0.804,-0.0258,1,Neutral,"First, we introduce a new discrimination-based technique to automatically extract the terms that are the subject of the positive or negative opinion (such as price or customer service) and that are,frequ,ently com,""mented on.,""",1307
0.148,0.152,0.7,-0.0258,1,Neutral,"Second, we derive a Reverse-Distance-Weighting method to map the attributes to the related positive and negative opinions in the text.",1308
0,0,1,0,1,Neutral,"Third, the resulting high-dimensional feature vectors are visualized in a new summary representation that provides a quick overview.",1309
0,0,1,0,1,Neutral,We also cluster the reviews according to the similarity of the comments.,1310
